NodeID,ZoneName,Elevation_m,Slope_deg,Rainfall_mm_hr,Soil_Stability,Vibration_Level,Risk_Level
N1,Western Ghats Cliff Route - Zone 1,351,40,20,0.36,High,Low
N2,Western Ghats Cliff Route - Zone 2,1685,74,10,0.61,Low,Medium
N3,Aravalli Hills Road - Zone 3,491,32,19,0.55,Low,Low
N4,Spiti Valley Cliff Road - Zone 4,707,74,31,0.35,High,Medium
N5,Leh-Ladakh Cliff Route - Zone 5,313,25,49,0.5,Medium,Low
N6,Sikkim Valley Road - Zone 6,740,48,11,0.26,Low,Low
N7,Kodaikanal Ghat Road - Zone 7,1004,38,56,0.23,Medium,Medium
N8,Spiti Valley Cliff Road - Zone 8,555,53,10,0.59,High,Low
N9,Mussoorie Hill Road - Zone 9,1040,29,50,0.25,High,Medium
N10,Manali Mountain Road - Zone 10,892,15,59,0.36,Low,Medium
N11,Ooty Hill Pass - Zone 11,869,63,45,0.78,Low,Medium
N12,Kodaikanal Ghat Road - Zone 12,1027,31,47,0.39,High,Medium
N13,Nilgiri Mountain Pass - Zone 13,1547,26,39,0.71,Low,Low
N14,Tawang Mountain Route - Zone 14,1077,39,45,0.68,Low,Low
N15,Nainital Lake Hill Road - Zone 15,414,34,57,0.22,Medium,Medium
N16,Ooty Hill Pass - Zone 16,848,13,18,0.84,High,Low
N17,Nainital Lake Hill Road - Zone 17,735,68,30,0.82,High,Medium
N18,Tawang Mountain Route - Zone 18,592,38,13,0.37,High,Low
N19,Spiti Valley Cliff Road - Zone 19,838,59,42,0.48,Low,Medium
N20,Sikkim Valley Road - Zone 20,1343,68,10,0.73,Low,Low
N21,Sikkim Valley Road - Zone 21,1585,25,55,0.68,High,Low
N22,Nilgiri Mountain Pass - Zone 22,1088,53,43,0.9,High,Low
N23,Leh-Ladakh Cliff Route - Zone 23,1433,6,48,0.7,High,Low
N24,Spiti Valley Cliff Road - Zone 24,846,48,12,0.41,Low,Low
N25,Tawang Mountain Route - Zone 25,306,38,37,0.73,High,Low
N26,Western Ghats Cliff Route - Zone 26,1580,43,58,0.65,High,Medium
N27,Shimla Ridge Highway - Zone 27,613,52,53,0.31,High,Medium
N28,Aravalli Hills Road - Zone 28,1526,46,36,0.21,Medium,Medium
N29,Uttarakhand Valley Road - Zone 29,790,12,20,0.81,Low,Low
N30,Nilgiri Mountain Pass - Zone 30,1798,67,57,0.25,High,Medium
N31,Sikkim Valley Road - Zone 31,562,65,40,0.32,High,Medium
N32,Mussoorie Hill Road - Zone 32,1166,32,39,0.73,High,Low
N33,Shimla Ridge Highway - Zone 33,1760,44,30,0.9,High,Low
N34,Kodaikanal Ghat Road - Zone 34,1197,71,33,0.28,Low,Medium
N35,Nilgiri Mountain Pass - Zone 35,992,7,42,0.59,High,Low
N36,Manali Mountain Road - Zone 36,314,14,50,0.64,Low,Low
N37,Nilgiri Mountain Pass - Zone 37,364,47,9,0.56,Medium,Low
N38,Gangtok Ridge Road - Zone 38,738,74,13,0.71,High,Medium
N39,Kinnaur Mountain Highway - Zone 39,1268,36,55,0.53,Medium,Medium
N40,Shimla Ridge Highway - Zone 40,493,17,47,0.5,Medium,Low
N41,Munnar Tea Valley Road - Zone 41,1256,11,48,0.66,High,Low
N42,Western Ghats Cliff Route - Zone 42,424,56,51,0.44,Low,Medium
N43,Manali Mountain Road - Zone 43,692,29,39,0.51,Medium,Low
N44,Darjeeling Hill Road - Zone 44,870,64,20,0.81,Low,Low
N45,Tawang Mountain Route - Zone 45,1427,17,8,0.66,High,Low
N46,Aravalli Hills Road - Zone 46,491,35,15,0.48,Medium,Low
N47,Shimla Ridge Highway - Zone 47,1121,12,15,0.47,Medium,Low
N48,Leh-Ladakh Cliff Route - Zone 48,1231,41,32,0.69,High,Low
N49,Spiti Valley Cliff Road - Zone 49,1655,67,14,0.33,Low,Medium
N50,Himalayan Ridge Road - Zone 50,1486,74,8,0.72,Low,Low
N51,Himalayan Ridge Road - Zone 51,1496,66,37,0.84,High,Medium
N52,Darjeeling Hill Road - Zone 52,416,70,10,0.8,Low,Low
N53,Mussoorie Hill Road - Zone 53,439,35,30,0.28,High,Medium
N54,Manali Mountain Road - Zone 54,1485,10,44,0.26,High,Low
N55,Kinnaur Mountain Highway - Zone 55,1457,71,25,0.85,Low,Medium
N56,Nainital Lake Hill Road - Zone 56,788,38,30,0.29,High,Medium
N57,Uttarakhand Valley Road - Zone 57,1236,45,53,0.86,Low,Low
N58,Tawang Mountain Route - Zone 58,1572,17,9,0.58,High,Low
N59,Leh-Ladakh Cliff Route - Zone 59,571,49,9,0.82,Medium,Low
N60,Uttarakhand Valley Road - Zone 60,623,61,58,0.58,Medium,Medium
N61,Mussoorie Hill Road - Zone 61,1639,72,5,0.67,High,Low
N62,Uttarakhand Valley Road - Zone 62,1658,18,13,0.39,Low,Low
N63,Spiti Valley Cliff Road - Zone 63,618,39,23,0.62,High,Low
N64,Nainital Lake Hill Road - Zone 64,716,38,37,0.54,Low,Low
N65,Nilgiri Mountain Pass - Zone 65,1599,59,58,0.39,Low,Medium
N66,Nainital Lake Hill Road - Zone 66,567,38,15,0.72,High,Low
N67,Munnar Tea Valley Road - Zone 67,1448,6,12,0.25,High,Low
N68,Sikkim Valley Road - Zone 68,1417,9,58,0.46,High,Low
N69,Sikkim Valley Road - Zone 69,1180,21,7,0.42,Low,Low
N70,Kodaikanal Ghat Road - Zone 70,730,36,47,0.27,High,Medium
N71,Munnar Tea Valley Road - Zone 71,1571,24,20,0.81,Low,Low
N72,Munnar Tea Valley Road - Zone 72,350,27,52,0.85,Medium,Low
N73,Manali Mountain Road - Zone 73,846,25,55,0.69,Medium,Low
N74,Himalayan Ridge Road - Zone 74,1263,33,17,0.77,Medium,Low
N75,Kodaikanal Ghat Road - Zone 75,925,34,19,0.22,Low,Low
N76,Ooty Hill Pass - Zone 76,972,40,60,0.25,Medium,Medium
N77,Kodaikanal Ghat Road - Zone 77,1613,70,30,0.68,High,Medium
